clone, divRt, movRt, livePop, historicPop, rA, hA, generations, seed, nInitCell, w, h, 
neutral_0, 0.1, 0.2, 0, 2, 0.5, 0.0, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.0, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 2, 0.5, 0.0, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.0, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.5, 0.0, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.5, 0.0, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.0, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 2, 0.5, 0.0, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.0, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.5, 0.0, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.05, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.05, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.05, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.5, 0.05, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.05, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.05, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.05, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.05, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.5, 0.05, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.05, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.5, 0.1, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.5, 0.1, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.1, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.1, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.5, 0.1, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.5, 0.1, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.5, 0.1, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.1, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.1, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.5, 0.1, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 483, 652, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
all, -1, -1, 483, 656, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 2007, 6055, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
all, -1, -1, 2007, 6059, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.2, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.2, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 3, 0.5, 0.2, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.2, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.5, 0.2, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.2, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.2, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 3, 0.5, 0.2, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.2, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.5, 0.2, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.25, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.25, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.25, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.25, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.5, 0.25, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.25, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.25, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.25, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.25, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.5, 0.25, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.3, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.3, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.3, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.5, 0.3, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.3, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.3, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.3, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.3, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.5, 0.3, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.3, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.35, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.35, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.35, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.35, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.5, 0.35, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.35, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.5, 0.35, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.35, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.35, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.5, 0.35, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.5, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.39999999999999997, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.5, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.5, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.5, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.5, 0.39999999999999997, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.6, 0.0, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.0, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 2, 0.6, 0.0, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.0, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.6, 0.0, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.6, 0.0, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.0, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 2, 0.6, 0.0, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.0, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.6, 0.0, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.6, 0.05, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.05, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.05, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.05, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.05, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.6, 0.05, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.05, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.05, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.05, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.05, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.1, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.1, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.1, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.1, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.6, 0.1, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.1, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.1, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.1, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.1, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.6, 0.1, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.6, 0.15000000000000002, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.6, 0.15000000000000002, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.2, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.6, 0.2, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.2, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.2, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.2, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.2, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.6, 0.2, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.2, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.2, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.2, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.25, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.6, 0.25, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.25, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.25, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.25, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.25, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.6, 0.25, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.25, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.25, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.25, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.3, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.3, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.3, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.3, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.6, 0.3, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.3, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.3, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.3, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.3, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.6, 0.3, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.35, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.35, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.35, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.35, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.6, 0.35, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.35, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.35, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.35, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.6, 0.35, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.6, 0.35, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.6, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.6, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.6, 0.39999999999999997, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.6, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.6, 0.39999999999999997, 200, 54907, 4, 50, 50, 
